Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
04/01/2010,"48 KILLIANS COURT, MULLAGH",,Cavan,"€122,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
05/01/2010,"2. tulach ard, rahardrum, virginia",,Cavan,"€145,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
05/01/2010,"62 Ardkill Place, Ballinagh",,Cavan,"€120,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/01/2010,"40 Ardkill Place, Garrymore, Ballinagh",,Cavan,"€114,537.44",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
08/01/2010,"11 Shrewsbury, Kilconny, Belturbet",,Cavan,"€135,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
11/01/2010,"Magheranure, Cootehill",,Cavan,"€150,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
13/01/2010,"41 Ardkill Place, Garrymore, Ballinagh",,Cavan,"€100,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
15/01/2010,"35 Ardkill Place, Garrymore, Ballinagh",,Cavan,"€120,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
19/01/2010,"Kilnavara, Cavan",,Cavan,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/01/2010,"Lisnaclea, Cootehill",,Cavan,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/01/2010,"33 CASTLEFORDE, BALLYCONNELL",,Cavan,"€205,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
22/01/2010,"10 killians court, mullagh",,Cavan,"€95,154.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/01/2010,"Corisalee, Cavan",,Cavan,"€200,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/01/2010,"Corlisalee, Cavan",,Cavan,"€200,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
28/01/2010,"polleragh, kilnaleck",,Cavan,"€182,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2010,"1 ardkill place, garrymore, ballinagh",,Cavan,"€159,493.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
04/02/2010,"15 Ardkill Place, Garrymore, Ballinagh",,Cavan,"€100,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/02/2010,"7 LAKEVIEW, BALLYBAY ROAD, COOTEHILL",,Cavan,"€198,237.89",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
05/02/2010,"2 Drumglen Drive, Swellan Lower, Cavan",,Cavan,"€189,779.73",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
10/02/2010,"1 Maple Drive, Drumgola Wood, Cavan",,Cavan,"€150,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
11/02/2010,"7 Lansdowne Manor, Swellan Lower",,Cavan,"€198,500.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
12/02/2010,"26 Ardkill Place Garrymore, Ballinagh",,Cavan,"€170,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
13/02/2010,"Church Street, Ballyconnell",,Cavan,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/02/2010,"Knockbride, Bailieborough",,Cavan,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/02/2010,"12 broad meadows, ballyjamesduff",,Cavan,"€170,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
18/02/2010,"64 Station Lane, Swellan",,Cavan,"€119,295.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
18/02/2010,"Swellan Lower, Cavan",,Cavan,"€136,500.00",No,No,Second-Hand Dwelling house /Apartment,
19/02/2010,"Edrans, Tullyco, Cootehill",,Cavan,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/02/2010,"Escafeld, Cortober, Cootehill",,Cavan,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/02/2010,"27 killians court, mullagh",,Cavan,"€100,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
24/02/2010,"31 Ardkill Place, Garrymore, Ballinagh",,Cavan,"€100,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/02/2010,"40 killians court, mullagh, cavan",,Cavan,"€100,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
25/02/2010,"13 ARDKILL PLACE, BALLINAGH",,Cavan,"€114,537.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/02/2010,"17 Churchview, Ballyhaise, Co. Cavan",,Cavan,"€135,255.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
